City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Tasiilaq,GL,2020-03-17 16:20:13,65.61,-37.64,20,78,14.0,3.36
Vao,NC,2020-03-17 16:20:13,-22.67,167.48,26,76,76.55,18.81
Kirkuk,IQ,2020-03-17 16:20:13,35.47,44.39,0,62,59.63,14.52
Ushuaia,AR,2020-03-17 16:18:17,-54.8,-68.3,75,50,55.4,3.36
Fairbanks,US,2020-03-17 16:20:03,64.84,-147.72,1,73,34.0,6.93
Shelburne,CA,2020-03-17 16:20:13,44.08,-80.2,90,52,44.6,14.99
Busselton,AU,2020-03-17 16:20:13,-33.65,115.33,68,96,51.01,17.16
Bluff,NZ,2020-03-17 16:20:13,-46.6,168.33,6,96,42.01,1.99
Puerto Ayora,EC,2020-03-17 16:20:13,-0.74,-90.35,20,66,84.2,13.87
Tuy Hoa,VN,2020-03-17 16:20:13,13.08,109.3,7,75,76.91,5.21
Kaitangata,NZ,2020-03-17 16:20:13,-46.28,169.85,4,81,45.77,9.4
Grand Gaube,MU,2020-03-17 16:19:53,-20.01,57.66,20,94,75.2,2.24
Punta Arenas,CL,2020-03-17 16:17:36,-53.15,-70.92,75,50,57.2,29.97
São Filipe,CV,2020-03-17 16:20:14,14.9,-24.5,67,80,67.01,23.35
Pevek,RU,2020-03-17 16:15:22,69.7,170.31,100,91,23.27,14.52
Nikolskoye,RU,2020-03-17 16:20:14,59.7,30.79,75,74,37.4,8.95
Lagoa,PT,2020-03-17 16:15:22,39.05,-27.98,0,79,62.69,15.97
Barrow,US,2020-03-17 16:20:14,71.29,-156.79,1,85,12.2,11.41
Berezovyy,RU,2020-03-17 16:20:14,51.67,135.7,95,87,16.79,2.01
Verkhoyansk,RU,2020-03-17 16:20:14,67.54,133.38,100,99,-6.25,3.15
Tuktoyaktuk,CA,2020-03-17 16:15:26,69.45,-133.04,90,84,-0.4,9.17
Leningradskiy,RU,2020-03-17 16:15:20,69.38,178.42,100,77,25.79,7.83
Honningsvåg,NO,2020-03-17 16:20:14,70.98,25.97,75,79,24.8,4.7
Ukiah,US,2020-03-17 16:20:14,39.15,-123.21,75,66,54.0,3.36
Gizo Government Station,SB,2020-03-17 16:20:14,-8.1,156.84,18,85,79.07,5.1
Dikson,RU,2020-03-17 16:20:14,73.51,80.55,100,100,-3.19,6.64
Chachapoyas,PE,2020-03-17 16:20:14,-6.23,-77.87,80,89,62.69,4.27
East London,ZA,2020-03-17 16:20:14,-33.02,27.91,100,82,70.61,13.85
Bay Roberts,CA,2020-03-17 16:19:25,47.6,-53.26,20,63,30.0,20.8
Qaanaaq,GL,2020-03-17 16:20:15,77.48,-69.36,96,60,-19.39,5.75
Mīrābād,AF,2020-03-17 16:20:15,30.44,61.84,100,29,71.15,6.67
Arlit,NE,2020-03-17 16:20:15,18.74,7.39,15,7,82.31,12.17
Srednekolymsk,RU,2020-03-17 16:20:15,67.45,153.68,97,96,-11.29,8.37
Hong Kong,HK,2020-03-17 16:18:08,22.29,114.16,40,73,71.01,8.05
Atuona,PF,2020-03-17 16:15:19,-9.8,-139.03,2,74,82.49,9.64
Yaan,NG,2020-03-17 16:20:15,7.38,8.57,90,13,88.79,4.29
Kudahuvadhoo,MV,2020-03-17 16:20:15,2.67,72.89,100,77,84.11,17.63
Tezu,IN,2020-03-17 16:20:15,27.92,96.17,28,50,63.23,3.11
Cape Town,ZA,2020-03-17 16:18:44,-33.93,18.42,12,88,68.0,11.41
New Norfolk,AU,2020-03-17 16:20:15,-42.78,147.06,75,49,68.0,10.29
Cabedelo,BR,2020-03-17 16:20:15,-6.98,-34.83,40,74,84.2,9.17
Harper,LR,2020-03-17 16:20:15,4.38,-7.72,90,93,78.17,4.23
Tautira,PF,2020-03-17 16:16:04,-17.73,-149.15,40,70,86.0,11.41
Butaritari,KI,2020-03-17 16:20:15,3.07,172.79,1,76,82.85,14.23
Rikitea,PF,2020-03-17 16:20:15,-23.12,-134.97,6,79,80.51,14.43
Carballo,ES,2020-03-17 16:20:15,43.21,-8.69,0,71,59.0,1.12
Kidal,ML,2020-03-17 16:20:15,18.44,1.41,91,15,81.95,4.21
George Town,MY,2020-03-17 16:20:04,5.41,100.34,20,88,80.6,3.94
Buzuluk,RU,2020-03-17 16:20:16,52.78,52.26,70,88,29.57,6.31
Port Elizabeth,ZA,2020-03-17 16:20:16,-33.92,25.57,0,82,66.2,9.17
Mataura,NZ,2020-03-17 16:20:16,-46.19,168.86,3,96,42.01,1.99
Albany,US,2020-03-17 16:20:16,42.6,-73.97,90,66,50.0,5.88
Mar del Plata,AR,2020-03-17 16:20:16,-38.0,-57.56,100,77,75.0,6.93
Mahébourg,MU,2020-03-17 16:15:31,-20.41,57.7,20,94,75.2,2.24
Guerrero Negro,MX,2020-03-17 16:15:34,27.98,-114.06,0,48,66.83,10.8
Portland,US,2020-03-17 16:19:22,45.52,-122.68,40,46,60.01,4.7
Yellowknife,CA,2020-03-17 16:19:26,62.46,-114.35,75,58,-4.0,5.82
Hobart,AU,2020-03-17 16:20:16,-42.88,147.33,75,49,68.0,10.29
Gambēla,ET,2020-03-17 16:20:16,8.25,34.58,100,45,83.75,0.94
Boyolangu,ID,2020-03-17 16:20:16,-8.12,111.89,70,92,73.67,1.03
Makakilo City,US,2020-03-17 16:19:21,21.35,-158.09,90,94,78.8,29.97
Pimentel,PE,2020-03-17 16:20:16,-6.84,-79.93,20,29,66.2,13.87
Thompson,CA,2020-03-17 16:17:27,55.74,-97.86,5,54,-0.4,6.93
Iracoubo,GF,2020-03-17 16:20:16,5.48,-53.2,54,77,80.69,13.69
Katsuura,JP,2020-03-17 16:20:16,35.13,140.3,0,65,45.0,6.93
Tessalit,ML,2020-03-17 16:20:17,20.2,1.01,93,16,83.03,8.01
Coahuayana Viejo,MX,2020-03-17 16:20:17,18.73,-103.68,5,58,82.4,11.41
Tadine,NC,2020-03-17 16:20:17,-21.55,167.88,98,74,76.91,13.87
Pisco,PE,2020-03-17 16:20:17,-13.7,-76.22,40,30,71.6,21.92
Chokurdakh,RU,2020-03-17 16:19:25,70.63,147.92,100,97,-4.45,9.51
Ponta do Sol,PT,2020-03-17 16:19:04,32.67,-17.1,40,67,59.0,17.22
Hilo,US,2020-03-17 16:15:34,19.73,-155.09,90,83,75.2,13.87
Ojinaga,MX,2020-03-17 16:20:17,29.57,-104.42,40,21,82.4,15.26
Nanortalik,GL,2020-03-17 16:20:17,60.14,-45.24,0,57,19.85,14.27
Villarrica,PY,2020-03-17 16:20:17,-25.75,-56.43,100,36,92.93,2.35
Longyearbyen,SJ,2020-03-17 16:20:07,78.22,15.64,20,68,-18.4,3.36
Bengkulu,ID,2020-03-17 16:20:16,-3.8,102.27,88,93,73.49,3.98
Kasempa,ZM,2020-03-17 16:16:25,-13.46,25.83,100,98,63.77,5.28
Nouadhibou,MR,2020-03-17 16:20:17,20.93,-17.03,88,64,68.0,23.04
Coyhaique,CL,2020-03-17 16:20:17,-45.58,-72.07,0,34,66.2,6.93
Barsovo,RU,2020-03-17 16:20:17,61.17,73.17,75,100,23.0,4.47
Mobaye,CF,2020-03-17 16:20:17,4.32,21.18,36,45,81.77,2.73
Upernavik,GL,2020-03-17 16:20:17,72.79,-56.15,15,50,-12.01,6.2
Provincia di Ancona,IT,2020-03-17 16:20:17,43.55,13.17,72,93,51.01,2.24
Esim,GH,2020-03-17 16:15:25,4.87,-2.24,100,84,80.69,6.85
Banjar,ID,2020-03-17 16:20:18,-8.19,114.97,20,88,80.6,2.24
Lerwick,GB,2020-03-17 16:19:02,60.15,-1.15,40,80,41.0,26.4
Dera Bugti,PK,2020-03-17 16:20:18,29.03,69.15,0,38,68.63,1.9
Diamantino,BR,2020-03-17 16:20:18,-14.41,-56.45,68,78,84.29,0.98
Barra de Tecoanapa,MX,2020-03-17 16:20:18,16.52,-98.75,0,35,93.47,12.66
Nabire,ID,2020-03-17 16:20:18,-3.37,135.48,100,99,71.87,0.76
Baykalovo,RU,2020-03-17 16:20:18,57.4,63.77,34,87,26.33,13.0
Hithadhoo,MV,2020-03-17 16:15:32,-0.6,73.08,92,75,84.65,12.41
Sovetskaya Gavan',RU,2020-03-17 16:20:18,48.97,140.29,99,72,26.87,5.97
Jacqueville,CI,2020-03-17 16:15:47,5.21,-4.41,20,83,84.2,8.05
Avarua,CK,2020-03-17 16:20:18,-21.21,-159.78,100,88,80.6,17.22
Gamba,GA,2020-03-17 16:20:18,-2.65,10.0,100,89,76.73,2.91
Cerro de Pasco,PE,2020-03-17 16:20:18,-10.68,-76.27,100,85,45.05,4.47
Pangnirtung,CA,2020-03-17 16:20:18,66.15,-65.71,90,65,8.6,6.93
Bethel,US,2020-03-17 16:20:18,41.37,-73.41,90,75,53.01,6.93
Carnarvon,AU,2020-03-17 16:20:18,-24.87,113.63,100,78,71.6,12.75
Vaini,TO,2020-03-17 16:20:19,-21.2,-175.2,75,94,78.8,13.87
Jamestown,US,2020-03-17 16:20:19,42.1,-79.24,90,70,42.8,14.99
Cabo San Lucas,MX,2020-03-17 16:20:19,22.89,-109.91,75,50,82.4,11.41
Eenhana,NA,2020-03-17 16:20:19,-17.47,16.33,90,90,68.27,7.38
Luanda,AO,2020-03-17 16:17:06,-8.84,13.23,40,78,82.4,4.7
Texarkana,US,2020-03-17 16:20:19,33.43,-94.05,90,82,69.01,8.05
Antofagasta,CL,2020-03-17 16:18:37,-23.65,-70.4,39,68,69.8,16.11
Lompoc,US,2020-03-17 16:20:19,34.64,-120.46,1,62,57.0,8.05
Zhuhai,CN,2020-03-17 16:20:19,22.28,113.57,40,88,71.01,9.17
Nantucket,US,2020-03-17 16:18:43,41.28,-70.1,90,93,46.4,8.05
Mascota,MX,2020-03-17 16:20:19,20.52,-104.78,20,78,78.8,11.41
Rome,US,2020-03-17 16:20:05,43.21,-75.46,90,75,45.0,8.05
Saint-Philippe,RE,2020-03-17 16:15:22,-21.36,55.77,90,94,75.2,5.82
Lorengau,PG,2020-03-17 16:20:19,-2.02,147.27,100,79,82.49,8.12
Manokwari,ID,2020-03-17 16:16:52,-0.87,134.08,82,77,73.31,4.41
Manggar,ID,2020-03-17 16:20:19,-2.88,108.27,16,80,81.77,9.57
Alyangula,AU,2020-03-17 16:20:19,-13.85,136.42,11,100,73.4,3.87
Sovetskiy,RU,2020-03-17 16:20:20,61.36,63.58,0,80,22.37,11.68
Souillac,MU,2020-03-17 16:20:20,-20.52,57.52,20,94,75.2,2.24
Provideniya,RU,2020-03-17 16:20:20,64.38,-173.3,100,96,25.79,6.67
Kapaa,US,2020-03-17 16:20:20,22.08,-159.32,90,94,69.8,8.05
Xinpu,CN,2020-03-17 16:20:20,34.6,119.16,0,78,49.01,4.05
Morón,AR,2020-03-17 16:20:20,-34.65,-58.62,90,93,71.6,14.99
Saskylakh,RU,2020-03-17 16:20:20,71.92,114.08,7,80,-23.89,7.49
Lagunas,PE,2020-03-17 16:20:20,-5.23,-75.68,100,96,77.27,1.95
Pacific Grove,US,2020-03-17 16:17:12,36.62,-121.92,90,71,57.0,3.36
Uglovka,RU,2020-03-17 16:20:20,58.24,33.51,100,87,33.17,10.63
Bonfim,BR,2020-03-17 16:20:20,3.08,-59.95,91,35,96.35,3.42
Lüderitz,NA,2020-03-17 16:15:35,-26.65,15.16,0,82,64.4,16.11
Conde,BR,2020-03-17 16:20:20,-7.26,-34.91,40,74,84.2,9.17
Barcelos,PT,2020-03-17 16:20:20,41.54,-8.62,0,77,62.01,2.24
Margate,GB,2020-03-17 16:15:48,51.38,1.39,67,87,48.99,10.29
Beringovskiy,RU,2020-03-17 16:20:20,63.05,179.32,38,87,30.11,15.93
Pinar del Río,CU,2020-03-17 16:20:20,22.42,-83.7,29,41,84.47,11.03
Meleuz,RU,2020-03-17 16:20:20,52.97,55.92,0,90,20.57,6.62
Airai,TL,2020-03-17 16:20:20,-8.93,125.41,0,82,63.77,4.32
Roebourne,AU,2020-03-17 16:20:20,-20.78,117.13,0,35,86.63,11.74
Kangaatsiaq,GL,2020-03-17 16:20:21,68.31,-53.46,100,66,11.03,23.31
Puerto Parra,CO,2020-03-17 16:20:21,6.65,-74.06,20,41,95.0,5.82
Buraidah,SA,2020-03-17 16:15:59,26.33,43.98,75,69,75.2,12.75
Sangar,RU,2020-03-17 16:20:21,63.92,127.47,100,98,-9.49,4.81
Takoradze,GH,2020-03-17 16:15:34,4.88,-1.76,100,84,80.69,6.85
Cidreira,BR,2020-03-17 16:20:21,-30.18,-50.21,93,79,73.67,19.17
Atar,MR,2020-03-17 16:20:21,20.52,-13.05,100,23,70.07,9.13
Hermanus,ZA,2020-03-17 16:20:21,-34.42,19.23,3,90,64.99,1.01
Lebu,CL,2020-03-17 16:20:21,-37.62,-73.65,0,58,66.11,9.48
Sa Kaeo,TH,2020-03-17 16:20:21,13.81,102.07,60,81,78.53,5.55
Tocopilla,CL,2020-03-17 16:20:21,-22.09,-70.2,100,57,69.71,9.46
Vozhega,RU,2020-03-17 16:20:21,60.47,40.22,100,86,28.67,9.37
Erzin,TR,2020-03-17 16:20:21,36.96,36.2,75,100,51.8,8.05
Denpasar,ID,2020-03-17 16:20:21,-8.65,115.22,20,88,80.6,2.24
Tuatapere,NZ,2020-03-17 16:16:22,-46.13,167.68,34,96,41.0,1.99
Alice Springs,AU,2020-03-17 16:18:55,-23.7,133.88,0,56,68.0,3.36
Shache,CN,2020-03-17 16:16:23,38.42,77.24,100,25,49.55,4.16
Ostrovnoy,RU,2020-03-17 16:20:21,68.05,39.51,4,92,19.67,15.28
Ahipara,NZ,2020-03-17 16:20:21,-35.17,173.17,0,53,60.53,6.82
Saint George,US,2020-03-17 16:16:14,37.1,-113.58,75,50,60.8,13.87
Zhoucheng,CN,2020-03-17 16:20:22,35.91,116.31,0,40,49.01,7.31
Oyama,JP,2020-03-17 16:20:22,36.3,139.8,75,50,48.99,2.24
Khovd,MN,2020-03-17 16:20:22,48.01,91.64,0,55,26.33,0.96
Port Lincoln,AU,2020-03-17 16:20:22,-34.73,135.87,100,40,72.05,4.07
Flinders,AU,2020-03-17 16:20:22,-34.58,150.86,0,93,57.2,8.05
Coquimbo,CL,2020-03-17 16:20:22,-29.95,-71.34,20,68,66.2,11.41
Raudeberg,NO,2020-03-17 16:20:22,61.99,5.14,75,80,42.8,18.34
Atlantis,ZA,2020-03-17 16:20:22,-33.57,18.48,0,88,68.0,11.41
Arraial do Cabo,BR,2020-03-17 16:20:22,-22.97,-42.03,75,83,78.8,3.36
Rio Grande,BR,2020-03-17 16:20:22,-32.03,-52.1,75,69,78.8,16.11
Gouré,NE,2020-03-17 16:20:22,13.98,10.27,100,7,79.61,9.8
Basoko,CD,2020-03-17 16:20:22,1.24,23.62,60,98,72.05,2.93
Seoul,KR,2020-03-17 16:20:01,37.57,126.98,1,64,35.6,1.12
Teya,RU,2020-03-17 16:20:22,60.38,92.63,100,80,7.43,5.03
Quelimane,MZ,2020-03-17 16:20:22,-17.88,36.89,20,78,80.6,4.7
Saint Paul Harbor,US,2020-03-17 16:20:22,57.79,-152.41,40,86,39.2,2.93
Xichang,CN,2020-03-17 16:20:23,27.9,102.26,99,92,36.23,3.02
Tual,ID,2020-03-17 16:20:23,-5.67,132.75,48,70,81.95,2.51
Araguaína,BR,2020-03-17 16:20:23,-7.19,-48.21,61,77,81.05,2.77
Champerico,GT,2020-03-17 16:20:23,14.3,-91.92,75,46,93.2,9.17
Boguchany,RU,2020-03-17 16:20:23,58.38,97.45,91,94,7.25,3.15
Kruisfontein,ZA,2020-03-17 16:20:23,-34.0,24.73,0,64,66.29,6.15
Fare,PF,2020-03-17 16:20:23,-16.7,-151.02,91,71,83.03,8.52
Sibolga,ID,2020-03-17 16:20:23,1.74,98.78,100,84,68.81,3.87
Kyra,RU,2020-03-17 16:20:23,49.58,111.98,26,70,19.85,13.33
Manfredonia,IT,2020-03-17 16:20:23,41.63,15.91,5,87,51.01,3.36
Chaman,PK,2020-03-17 16:20:23,30.92,66.45,0,48,56.03,3.49
Lavrentiya,RU,2020-03-17 16:20:23,65.58,-171.0,100,96,27.23,8.79
Narsaq,GL,2020-03-17 16:20:23,60.92,-46.05,20,43,15.8,4.07
Saint-Joseph,RE,2020-03-17 16:20:23,-21.37,55.62,90,94,75.2,5.82
Srandakan,ID,2020-03-17 16:20:23,-7.94,110.25,86,92,74.39,4.54
Chui,UY,2020-03-17 16:20:23,-33.7,-53.46,100,70,71.87,13.33
Mikhaylovka,RU,2020-03-17 16:20:23,50.06,43.24,0,52,34.25,2.55
Vila Franca do Campo,PT,2020-03-17 16:20:23,37.72,-25.43,20,72,60.8,6.93
Valleyview,CA,2020-03-17 16:20:23,55.07,-117.29,100,75,23.81,4.32
Severo-Kuril'sk,RU,2020-03-17 16:20:24,50.68,156.12,100,91,17.15,11.23
Karaman Province,TR,2020-03-17 16:20:24,37.08,33.25,100,96,16.97,33.96
Saint-Pierre,RE,2020-03-17 16:20:24,-21.34,55.48,90,94,75.2,5.82
Huarmey,PE,2020-03-17 16:20:24,-10.07,-78.15,42,48,82.31,8.43
San Patricio,MX,2020-03-17 16:19:11,19.22,-104.7,40,74,87.8,11.41
Ures,MX,2020-03-17 16:20:24,29.43,-110.4,33,43,75.0,1.01
San Isidro,PE,2020-03-17 16:20:24,-12.12,-77.05,100,65,78.8,11.41
Arrondissement de Vannes,FR,2020-03-17 16:20:24,47.83,-2.5,20,66,55.4,4.7
Bredasdorp,ZA,2020-03-17 16:20:24,-34.53,20.04,33,72,66.2,9.17
Rundu,NA,2020-03-17 16:16:15,-17.93,19.77,100,69,75.2,12.75
Borkenes,NO,2020-03-17 16:20:24,68.77,16.17,90,76,35.6,9.17
San Andrés,CO,2020-03-17 16:20:24,12.58,-81.7,20,66,86.0,12.75
Castro,BR,2020-03-17 16:20:24,-24.79,-50.01,0,80,72.05,5.39
Clyde River,CA,2020-03-17 16:20:24,70.47,-68.59,75,82,-16.6,16.11
Chernyshevskiy,RU,2020-03-17 16:20:24,63.01,112.47,98,96,-4.45,6.46
Ribeira Grande,PT,2020-03-17 16:20:24,38.52,-28.7,20,82,64.4,11.41
San Jose,US,2020-03-17 16:19:08,37.34,-121.89,75,58,57.99,3.36
Haines Junction,CA,2020-03-17 16:20:24,60.75,-137.51,1,70,23.63,0.94
Meulaboh,ID,2020-03-17 16:20:25,4.14,96.13,100,84,79.07,9.71
Iqaluit,CA,2020-03-17 16:20:25,63.75,-68.51,90,78,15.8,16.11
Makkah al Mukarramah,SA,2020-03-17 16:20:25,21.43,39.83,0,48,73.85,0.36
Igarka,RU,2020-03-17 16:20:25,67.47,86.58,100,92,12.11,20.13
Vardø,NO,2020-03-17 16:20:25,70.37,31.11,75,79,24.8,9.17
Beyneu,KZ,2020-03-17 16:20:25,45.32,55.2,99,61,40.55,7.54
Vikhorevka,RU,2020-03-17 16:20:25,56.12,101.16,77,61,12.2,4.47
Tuntum,BR,2020-03-17 16:20:25,-5.26,-44.65,64,88,77.99,2.19
Nome,US,2020-03-17 16:20:25,64.5,-165.41,90,92,27.0,17.22
Gisborne,NZ,2020-03-17 16:20:25,-38.65,178.0,74,79,55.0,7.0
Waipawa,NZ,2020-03-17 16:20:25,-41.41,175.52,91,54,55.4,4.7
Bosaso,SO,2020-03-17 16:16:27,11.28,49.18,100,87,78.35,13.24
Basna,IN,2020-03-17 16:20:25,21.28,82.82,0,34,76.37,2.33
Tura,IN,2020-03-17 16:20:25,25.52,90.22,0,43,66.29,1.97
Sept-Îles,CA,2020-03-17 16:16:34,50.2,-66.38,90,92,27.0,12.75
South Lake Tahoe,US,2020-03-17 16:20:26,38.93,-119.98,1,37,44.01,16.02
Mehamn,NO,2020-03-17 16:19:54,71.04,27.85,75,79,24.8,4.7
Port Alfred,ZA,2020-03-17 16:20:26,-33.59,26.89,47,97,66.99,7.0
Dongli,CN,2020-03-17 16:20:26,23.57,116.82,75,77,64.4,2.24
Mandera,KE,2020-03-17 16:20:26,3.94,41.87,29,38,90.59,20.38
Codrington,AU,2020-03-17 16:15:31,-38.27,141.97,100,57,67.73,10.87
Chastyye,RU,2020-03-17 16:20:26,57.29,54.97,61,94,22.91,4.76
Touros,BR,2020-03-17 16:20:26,-5.2,-35.46,20,66,86.0,14.99
Mae Hong Son,TH,2020-03-17 16:20:26,19.3,97.97,0,43,60.89,1.52
Manyana,BW,2020-03-17 16:20:26,-23.4,21.72,6,50,70.97,7.58
Madawaska,US,2020-03-17 16:17:30,47.36,-68.33,90,86,30.99,17.22
Mānsa,IN,2020-03-17 16:16:28,29.98,75.38,0,67,60.71,3.8
Kribi,CM,2020-03-17 16:20:26,2.95,9.92,98,84,81.59,7.52
Kurumkan,RU,2020-03-17 16:20:26,54.3,110.3,51,81,11.21,5.68
Port Blair,IN,2020-03-17 16:20:26,11.67,92.75,100,74,82.31,10.56
Jumla,NP,2020-03-17 16:19:00,29.27,82.18,0,60,31.73,4.88
Iraan,US,2020-03-17 16:20:26,30.91,-101.9,90,53,77.0,17.22
Leshukonskoye,RU,2020-03-17 16:20:27,64.9,45.76,100,85,27.77,10.09
Atikokan,CA,2020-03-17 16:20:27,48.76,-91.62,90,62,25.79,10.51
Oktyabr'skiy,RU,2020-03-17 16:20:27,54.48,53.47,75,93,26.33,6.82
Merauke,ID,2020-03-17 16:20:27,-8.47,140.33,74,95,74.03,4.9
Karmaskaly,RU,2020-03-17 16:20:27,54.37,56.18,75,74,30.2,8.95
Pangkalanbuun,ID,2020-03-17 16:20:27,-2.68,111.62,100,97,74.75,1.99
Adeje,ES,2020-03-17 16:20:27,28.12,-16.73,20,67,64.99,21.92
Port Macquarie,AU,2020-03-17 16:20:27,-31.43,152.92,91,100,60.01,5.82
Aklavik,CA,2020-03-17 16:16:59,68.22,-135.01,75,72,17.6,3.36
Sioux Lookout,CA,2020-03-17 16:20:27,50.1,-91.92,75,41,23.0,11.41
Boa Vista,BR,2020-03-17 16:20:27,2.82,-60.67,40,34,96.8,10.29
Emerald,AU,2020-03-17 16:20:27,-23.53,148.17,0,88,64.4,5.82
Province of Mantua,IT,2020-03-17 16:20:27,45.17,10.78,0,70,54.0,4.7
Orange Park,US,2020-03-17 16:20:27,30.17,-81.71,75,51,86.0,6.93
Morgan City,US,2020-03-17 16:20:27,29.7,-91.21,1,69,82.4,9.17
Faanui,PF,2020-03-17 16:20:27,-16.48,-151.75,100,73,82.67,8.1
Abu Kamal,SY,2020-03-17 16:20:27,34.45,40.92,100,87,60.53,9.71
Avera,US,2020-03-17 16:20:27,33.19,-82.53,90,77,73.4,5.06
Dawson Creek,CA,2020-03-17 16:20:27,55.77,-120.24,40,62,23.0,4.7
Helena,US,2020-03-17 16:20:28,46.59,-112.04,1,63,39.0,7.63
Kedrovyy,RU,2020-03-17 16:20:28,56.17,91.82,100,67,23.0,4.47
Bereda,ES,2020-03-17 16:20:28,43.27,-7.54,94,71,57.2,1.12
Santa Inês,BR,2020-03-17 16:20:28,-3.67,-45.38,24,85,80.51,3.0
Stornoway,GB,2020-03-17 16:20:28,58.21,-6.39,27,71,37.0,11.41
Mossamedes,AO,2020-03-17 16:20:28,-15.2,12.15,100,80,73.85,6.93
Cavalcante,BR,2020-03-17 16:20:28,-13.8,-47.46,88,91,70.25,2.71
Funadhoo,MV,2020-03-17 16:20:28,6.15,73.27,19,78,84.11,18.37
Fukuechō,JP,2020-03-17 16:20:28,32.69,128.84,20,76,53.6,4.7
Olafsvik,IS,2020-03-17 16:15:36,64.89,-23.71,100,75,28.85,41.61
Cap Malheureux,MU,2020-03-17 16:20:28,-19.98,57.61,20,94,75.2,2.24
